question,answer,CAP_TOTALE
Select the one that you are instantly and instinctively drawn towards,"grass",10
Select the one that you are instantly and instinctively drawn towards,"flowers",10
Select the one that you are instantly and instinctively drawn towards,"sunset",10
What is your age group?,"~ 18",10
What is your age group?,"18 ~ 24",10
What is your age group?,"25 ~ 29",10
What is your age group?,"30 ~ 39",10
What is your age group?,"40 ~ 49",10
What is your age group?,"50 ~ 59",10
What is your age group?,"60 ~",10
How would you describe yourself?,"Cool & Sophisticated",10
How would you describe yourself?,"Lovely & Cheerful",10
How would you describe yourself?,"Classy & Mature",10
Which do you value the most in your life?,"Time spent studying or working",10
Which do you value the most in your life?,"Quality time with loved ones and friends",10
Which do you value the most in your life?,"When devoting myself to a hobby",10
product,"Cherry Blossom",10
product,"Sensual Jasmine",10
product,"French Rose",10
product,"Sweet Osmanthus",10
